period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_pct
2020-2024,8,US-born,455152900,8917100.0,1.9591438393559615
2020-2024,9,Foreign-born,45370900,211500.0,0.46615782362703845
2020-2024,9,US-born,216611300,3289200.0,1.518480337821711
2020-2024,10,Foreign-born,9683200,79900.0,0.8251404494382022
2020-2024,10,US-born,61254800,1487600.0,2.428544375297936
2020-2024,11,Foreign-born,9565700,28600.0,0.29898491485202333
2020-2024,11,US-born,57713200,849500.0,1.471933630434632
2020-2024,12,Foreign-born,352985000,2739700.0,0.7761519611314929
2020-2024,12,US-born,1182020600,33921300.0,2.8697723203808803
2020-2024,13,Foreign-born,107555800,1058700.0,0.9843262752915231
2020-2024,13,US-born,732382500,24501600.0,3.345464972196905
2020-2024,15,Foreign-born,15072700,165100.0,1.0953578323724351
2020-2024,15,US-born,91530300,854400.0,0.9334613783632305
2020-2024,16,Foreign-born,11478800,125100.0,1.0898351744084749
2020-2024,16,US-born,136767500,3061200.0,2.2382510464839966
2020-2024,17,Foreign-born,146125300,618400.0,0.4231984468124274
2020-2024,17,US-born,825534800,18017900.0,2.1825730423478213
2020-2024,18,Foreign-born,46145300,248400.0,0.5382996751565164
2020-2024,18,US-born,477893700,11845600.0,2.478710223633415
2020-2024,19,Foreign-born,20249300,217900.0,1.0760865807706932
2020-2024,19,US-born,223957000,3778400.0,1.6871095790709825
2020-2024,20,Foreign-born,22105200,159700.0,0.7224544451079384
2020-2024,20,US-born,209539800,5007600.0,2.389808523249521
2020-2024,21,Foreign-born,22023300,452900.0,2.0564583872534996
2020-2024,21,US-born,319043700,9509300.0,2.980563477667793
2020-2024,22,Foreign-born,22619900,1387700.0,6.134863549352562
2020-2024,22,US-born,324979300,13455600.0,4.14044833009364
2020-2024,23,Foreign-born,4051800,49200.0,1.2142751369761589
2020-2024,23,US-born,90637900,906300.0,0.999912839992983
2020-2024,24,Foreign-born,83731100,401300.0,0.47927233727969654
2020-2024,24,US-born,368777100,9409600.0,2.551568413548455
2020-2024,25,Foreign-born,113273500,424000.0,0.3743152634994063
2020-2024,25,US-born,428718900,4619700.0,1.0775592118751938
2020-2024,26,Foreign-born,64854700,270900.0,0.4177029575343036
2020-2024,26,US-born,690256200,13673000.0,1.9808587014502732
2020-2024,27,Foreign-born,50737300,575500.0,1.1342739956599979
2020-2024,27,US-born,385786100,4407600.0,1.1424983948358949
2020-2024,28,Foreign-born,8035300,1034500.0,12.87444152676316
2020-2024,28,US-born,205464100,7634100.0,3.715539600348674
2020-2024,29,Foreign-born,27013400,186700.0,0.6911384720175912
2020-2024,29,US-born,439006100,9123500.0,2.0782171363905877
2020-2024,30,Foreign-born,1757800,30700.0,1.746501308453749
2020-2024,30,US-born,82820000,1468300.0,1.7728809466312485
2020-2024,31,Foreign-born,17953200,146700.0,0.8171245237617807
2020-2024,31,US-born,136709700,2498500.0,1.8275952620772338
2020-2024,32,Foreign-born,45998400,329100.0,0.7154596681623709
2020-2024,32,US-born,201944900,4272700.0,2.115775144606276
2020-2024,33,Foreign-born,8064600,126700.0,1.5710636609379263
2020-2024,33,US-born,95525200,1064300.0,1.114156264524963
2020-2024,34,Foreign-born,174092700,1007700.0,0.57882955459936
2020-2024,34,US-born,497682200,9468900.0,1.902599691128194
2020-2024,35,Foreign-born,15557600,263300.0,1.6924204247441763
2020-2024,35,US-born,148355800,4375300.0,2.949193762562704
2020-2024,36,Foreign-born,329290900,1898400.0,0.5765115282566265
2020-2024,36,US-born,1166109500,17442300.0,1.4957686220719408
2020-2024,37,Foreign-born,89258000,720100.0,0.8067624190548746
2020-2024,37,US-born,720824300,13421900.0,1.862021022321251
2020-2024,38,Foreign-born,3940200,40300.0,1.0227907212831835
2020-2024,38,US-born,64687800,832300.0,1.286641375962701
2020-2024,39,Foreign-born,61607600,475100.0,0.7711710892811926
2020-2024,39,US-born,816287800,18452600.0,2.260550751830421
2020-2024,40,Foreign-born,27227000,317800.0,1.1672237117567121
2020-2024,40,US-born,292115800,9816300.0,3.360413918042091
2020-2024,41,Foreign-born,39003000,621100.0,1.5924416070558673
2020-2024,41,US-born,292088400,5406200.0,1.850878021859136
2020-2024,42,Foreign-born,90202800,1027400.0,1.1389890335998438
2020-2024,42,US-born,859316200,21583900.0,2.511752949612727
2020-2024,44,Foreign-born,13842600,213800.0,1.5445075347116872
2020-2024,44,US-born,70180300,623200.0,0.8879984839050274
2020-2024,45,Foreign-born,29127000,247600.0,0.8500703814330346
2020-2024,45,US-born,355292400,7683300.0,2.1625286665293153
2020-2024,46,Foreign-born,3839400,84100.0,2.1904464239204042
2020-2024,46,US-born,66538400,1724800.0,2.592187368496988
2020-2024,47,Foreign-born,41567200,496500.0,1.1944513943686368
2020-2024,47,US-born,491894700,12080000.0,2.4558101561167462
2020-2024,48,Foreign-born,478998900,7325600.0,1.5293563304633895
2020-2024,48,US-born,1999658200,57314600.0,2.866219836970138
2020-2024,49,Foreign-born,31095400,262600.0,0.8444979000109342
2020-2024,49,US-born,267924500,2701400.0,1.0082691205918086
2020-2024,50,Foreign-born,2350900,10600.0,0.45089114807095154
2020-2024,50,US-born,45948100,347600.0,0.7565057097029039
2020-2024,51,Foreign-born,94122900,908400.0,0.9651211341766988
2020-2024,51,US-born,575315100,15116200.0,2.627464497281576
2020-2024,53,Foreign-born,120012700,786600.0,0.6554306335912783
2020-2024,53,US-born,526020900,6927400.0,1.3169438704811918
2020-2024,54,Foreign-born,3047400,194800.0,6.392334449038525
2020-2024,54,US-born,122463700,4571000.0,3.7325346204630434
2020-2024,55,Foreign-born,30467300,209600.0,0.6879506881147985
2020-2024,55,US-born,411882000,8887500.0,2.1577781986102815
2020-2024,56,Foreign-born,2077400,22400.0,1.0782709155675363
2020-2024,56,US-born,43263100,956000.0,2.20973531716405
