YEAR,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,incarceration_rate_pct
2011,38,US-born,11218600,175400.0,1.5634749433975719
2011,39,Foreign-born,9923500,230900.0,2.3268000201541796
2011,39,US-born,157710300,4511700.0,2.860751643995351
2011,40,Foreign-born,6096300,84300.0,1.3828059642734118
2011,40,US-born,53877300,2249900.0,4.175970213800617
2011,41,Foreign-born,8783500,169200.0,1.9263391586497411
2011,41,US-born,51094600,1194500.0,2.337820435036188
2011,42,Foreign-born,15158300,328800.0,2.1691086731361695
2011,42,US-born,169104400,5942600.0,3.514160483109842
2011,44,Foreign-born,2951100,0.0,0.0
2011,44,US-born,13378300,264500.0,1.9770822899770522
2011,45,Foreign-born,6342100,126000.0,1.9867236404345565
2011,45,US-born,64921400,2462200.0,3.7925861118213717
2011,46,Foreign-born,555300,12000.0,2.160994057266343
2011,46,US-born,12029800,327500.0,2.7224060250378224
2011,47,Foreign-born,8595800,154400.0,1.796226063891668
2011,47,US-born,87708800,2719600.0,3.1007150935823997
2011,48,Foreign-born,99663000,2879400.0,2.8891363896330637
2011,48,US-born,323822800,12246800.0,3.781944940257449
2011,49,Foreign-born,5876300,78100.0,1.3290676105712778
2011,49,US-born,43668800,669900.0,1.5340471915875866
2011,50,Foreign-born,395800,0.0,0.0
2011,50,US-born,8383600,105400.0,1.2572164702514432
2011,51,Foreign-born,20346400,258000.0,1.2680375889592261
2011,51,US-born,107051300,3524900.0,3.2927204060109503
2011,53,Foreign-born,19865600,302900.0,1.5247462951030928
2011,53,US-born,88881200,1591800.0,1.7909299154376856
2011,54,Foreign-born,680300,77700.0,11.421431721299426
2011,54,US-born,26025600,839400.0,3.2252858723718187
2011,55,Foreign-born,6621200,121500.0,1.8350148009424274
2011,55,US-born,79086500,2425200.0,3.0665157770289495
2011,56,Foreign-born,402700,18600.0,4.618822945120437
2011,56,US-born,8931300,185400.0,2.0758456215780456
2012,1,Foreign-born,4409700,53900.0,1.2223053722475452
2012,1,US-born,66316800,2486600.0,3.7495777842115423
2012,2,Foreign-born,491300,0.0,0.0
2012,2,US-born,12309100,289100.0,2.34866887099788
2012,4,Foreign-born,18071700,1145200.0,6.336979918878689
2012,4,US-born,84146900,3166900.0,3.7635373376797
2012,5,Foreign-born,3822000,58400.0,1.5279958137100993
2012,5,US-born,40400600,1356900.0,3.358613485938328
2012,6,Foreign-born,195729700,2181700.0,1.1146494374640128
2012,6,US-born,441571500,11446700.0,2.5922642199507897
2012,8,Foreign-born,11964300,270500.0,2.26089282281454
2012,8,US-born,74736100,2152100.0,2.8795990157367055
2012,9,Foreign-born,9840100,68600.0,0.6971473867135497
2012,9,US-born,39645900,1067700.0,2.6930905843983868
2012,10,Foreign-born,1642600,13100.0,0.7975161329599415
2012,10,US-born,11484100,363000.0,3.16089201591766
2012,11,Foreign-born,2153300,18700.0,0.8684344958900292
2012,11,US-born,10599900,167800.0,1.583033802205681
2012,12,Foreign-born,62342900,967700.0,1.5522216643755744
2012,12,US-born,210692000,8419900.0,3.996307406071422
2012,13,Foreign-born,24029400,606000.0,2.521910659442183
2012,13,US-born,131330500,5944000.0,4.5259859667023274
2012,15,Foreign-born,3382200,16500.0,0.48784814617704453
2012,15,US-born,19765700,329900.0,1.6690529553721851
2012,16,Foreign-born,2488000,12000.0,0.48231511254019294
2012,16,US-born,22268700,656100.0,2.9462878389847633
2012,17,Foreign-born,38211600,291500.0,0.7628573522176512
2012,17,US-born,162620100,4285300.0,2.6351601062845242
2012,18,Foreign-born,8168300,85000.0,1.0406082048896341
2012,18,US-born,89914400,2993900.0,3.329722491614247
2012,19,Foreign-born,4251200,43700.0,1.0279450508091834
2012,19,US-born,42041100,864100.0,2.0553696263894143
2012,20,Foreign-born,5424600,69400.0,1.279357003281348
2012,20,US-born,39518600,1060600.0,2.6837995273111903
2012,21,Foreign-born,3498600,98200.0,2.8068370205224946
2012,21,US-born,63196600,2508100.0,3.9687261656481514
2012,22,Foreign-born,4085900,124500.0,3.04706429428033
2012,22,US-born,68493800,3684600.0,5.3794650026717745
2012,23,Foreign-born,614300,0.0,0.0
2012,23,US-born,16661600,283800.0,1.7033178086138188
2012,24,Foreign-born,18566500,92100.0,0.4960547222147416
2012,24,US-born,69753700,2152400.0,3.085714449556081
2012,25,Foreign-born,19629300,186400.0,0.9496008517878886
2012,25,US-born,79916200,1333200.0,1.6682474892449843
2012,26,Foreign-born,11394300,83400.0,0.7319449198283352
2012,26,US-born,131430000,3711500.0,2.8239366963402572
2012,27,Foreign-born,9875300,169400.0,1.715390924832663
2012,27,US-born,71988700,1079600.0,1.4996798108592042
2012,28,Foreign-born,1927400,298000.0,15.461243125453981
2012,28,US-born,43259200,2130900.0,4.925888597107667
2012,29,Foreign-born,5166500,44900.0,0.8690602922674925
2012,29,US-born,84962500,2517400.0,2.962954244519641
2012,30,Foreign-born,164700,7600.0,4.61445051608986
