period,STATEFIP,citizenship_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2020-2024,16,Non-citizen / foreign-born unknown,30392700,11277500.0,37.105949783994184
2020-2024,16,US-born,898222300,70505500.0,7.849448850245647
2020-2024,17,Naturalized citizen,486582700,35172400.0,7.2284526350813545
2020-2024,17,Non-citizen / foreign-born unknown,428840700,128577500.0,29.982578612524417
2020-2024,17,US-born,5313326900,259248600.0,4.879214188759965
2020-2024,18,Naturalized citizen,87611000,7726200.0,8.818755635707845
2020-2024,18,Non-citizen / foreign-born unknown,120280400,31226500.0,25.961420148253584
2020-2024,18,US-born,3182675600,207326100.0,6.514207731381734
2020-2024,19,Naturalized citizen,40468600,3039000.0,7.5095259040342395
2020-2024,19,Non-citizen / foreign-born unknown,51494800,13967300.0,27.123709578442874
2020-2024,19,US-born,1497468500,63784000.0,4.259455207238083
2020-2024,20,Naturalized citizen,45247300,4787000.0,10.579636796007717
2020-2024,20,Non-citizen / foreign-born unknown,60595200,23864100.0,39.3828224017744
2020-2024,20,US-born,1347706200,99988300.0,7.419146695325732
2020-2024,21,Naturalized citizen,40586300,3191400.0,7.863244493831663
2020-2024,21,Non-citizen / foreign-born unknown,55451800,18417800.0,33.21407059824929
2020-2024,21,US-born,2146690700,115474000.0,5.379163379242292
2020-2024,22,Naturalized citizen,44023000,4430400.0,10.0638302705404
2020-2024,22,Non-citizen / foreign-born unknown,59041300,31993100.0,54.18766185703906
2020-2024,22,US-born,2183232900,147353900.0,6.749344057612909
2020-2024,23,Naturalized citizen,14734200,649000.0,4.404718274490641
2020-2024,23,Non-citizen / foreign-born unknown,13128600,1756000.0,13.37537894368021
2020-2024,23,US-born,654240700,40039200.0,6.119949431455426
2020-2024,24,Naturalized citizen,278071400,16138800.0,5.8038331162428065
2020-2024,24,Non-citizen / foreign-born unknown,226197600,75638400.0,33.43908158176745
2020-2024,24,US-born,2524417500,98166200.0,3.8886673856444114
2020-2024,25,Naturalized citizen,341517100,8849100.0,2.5911147640923398
2020-2024,25,Non-citizen / foreign-born unknown,285960900,24445700.0,8.548616261873564
2020-2024,25,US-born,2770567100,54834300.0,1.9791724228588436
2020-2024,26,Naturalized citizen,206617600,9710700.0,4.699841639821583
2020-2024,26,Non-citizen / foreign-born unknown,152262700,24677100.0,16.20692395445503
2020-2024,26,US-born,4626710700,218242600.0,4.7170141846128395
2020-2024,27,Naturalized citizen,144473500,8576400.0,5.9363135799991005
2020-2024,27,Non-citizen / foreign-born unknown,97461700,22094800.0,22.670238668112706
2020-2024,27,US-born,2591767900,101328500.0,3.909628636113596
2020-2024,28,Naturalized citizen,14002300,2076900.0,14.832563221756425
2020-2024,28,Non-citizen / foreign-born unknown,20178100,10016900.0,49.64243412412467
2020-2024,28,US-born,1428612700,157604100.0,11.031968286436204
2020-2024,29,Naturalized citizen,69233700,6414500.0,9.264996670696496
