YEAR,STATEFIP,citizenship_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2009,39,US-born,1103425000,131278700.0,11.897383147925776
2009,40,Naturalized citizen,6850800,1551000.0,22.639691714836225
2009,40,Non-citizen / foreign-born unknown,12661600,7643400.0,60.366778290263476
2009,40,US-born,346304200,60371600.0,17.433112275277054
2009,41,Naturalized citizen,13400900,2279100.0,17.0070666895507
2009,41,Non-citizen / foreign-born unknown,23981400,12087500.0,50.40364615910664
2009,41,US-born,341325000,52020700.0,15.240811543250569
2009,42,Naturalized citizen,34341900,4030800.0,11.73726555606999
2009,42,Non-citizen / foreign-born unknown,32853100,10027100.0,30.521016281568556
2009,42,US-born,1174616500,107898400.0,9.18584065522662
2009,44,Naturalized citizen,6504200,814600.0,12.524215122536209
2009,44,Non-citizen / foreign-born unknown,7102300,2997300.0,42.20182194500373
2009,44,US-born,89772800,7843800.0,8.737390389962215
2009,45,Naturalized citizen,6918200,1083400.0,15.660142811714028
2009,45,Non-citizen / foreign-born unknown,13972200,8245500.0,59.01361274530854
2009,45,US-born,430634000,67418100.0,15.655545080044773
2009,46,Naturalized citizen,859200,98000.0,11.405959031657357
2009,46,Non-citizen / foreign-born unknown,940900,200300.0,21.288128387713893
2009,46,US-born,78888100,10468500.0,13.270062278087568
2009,47,Naturalized citizen,8952100,1875600.0,20.951508584577923
2009,47,Non-citizen / foreign-born unknown,17501700,10463300.0,59.7844780792723
2009,47,US-born,598528500,78574500.0,13.127946288271989
2009,48,Naturalized citizen,126688200,33101100.0,26.128005607467784
2009,48,Non-citizen / foreign-born unknown,271758700,170396900.0,62.701543685629936
2009,48,US-born,2050336700,389128400.0,18.978756025778594
2009,49,Naturalized citizen,7641600,1638800.0,21.445770519262982
2009,49,Non-citizen / foreign-born unknown,13967000,7127100.0,51.02813775327558
2009,49,US-born,254213900,30980100.0,12.186627088447958
2009,50,Naturalized citizen,1102700,91900.0,8.334089054139838
2009,50,Non-citizen / foreign-born unknown,1038400,58700.0,5.6529275808936825
2009,50,US-born,59581200,5089200.0,8.541620511167952
2009,51,Naturalized citizen,36636700,4627200.0,12.62995848425213
2009,51,Non-citizen / foreign-born unknown,43966300,16938000.0,38.52496116343654
2009,51,US-born,694510300,68791400.0,9.905022286926487
2009,53,Naturalized citizen,36234100,5346500.0,14.755437557438986
2009,53,Non-citizen / foreign-born unknown,44483200,16205000.0,36.42948349039637
2009,53,US-born,574925200,66898400.0,11.636018041999202
2009,54,Naturalized citizen,1098200,93700.0,8.532143507557823
2009,54,Non-citizen / foreign-born unknown,1079900,231200.0,21.409389758310954
2009,54,US-born,179129100,25778000.0,14.390738299918885
2009,55,Naturalized citizen,10783200,1042000.0,9.663179761109875
2009,55,Non-citizen / foreign-born unknown,14664400,6499100.0,44.318894738277734
2009,55,US-born,535493500,44866800.0,8.378589095852703
2009,56,Naturalized citizen,557100,72300.0,12.977921378567583
2009,56,Non-citizen / foreign-born unknown,1037500,688900.0,66.4
2009,56,US-born,52410300,7359600.0,14.042277949181745
2010,1,Naturalized citizen,4817100,929700.0,19.299993772186586
2010,1,Non-citizen / foreign-born unknown,12216000,7972700.0,65.2644073346431
2010,1,US-born,458340200,62682600.0,13.675998745036983
2010,2,Naturalized citizen,2346500,452200.0,19.271255060728745
2010,2,Non-citizen / foreign-born unknown,2318600,1098400.0,47.373414991805404
2010,2,US-born,65159500,11062700.0,16.97787736247209
2010,4,Naturalized citizen,30817400,5281000.0,17.136422929903237
2010,4,Non-citizen / foreign-born unknown,55305000,28635000.0,51.776512069433146
2010,4,US-born,547597700,77393600.0,14.13329530054637
2010,5,Naturalized citizen,3795700,873200.0,23.00497931870274
2010,5,Non-citizen / foreign-born unknown,9487500,5393400.0,56.84743083003953
2010,5,US-born,277008900,45525400.0,16.43463441066334
2010,6,Naturalized citizen,464364600,78970000.0,17.006033620995225
2010,6,Non-citizen / foreign-born unknown,550001300,254293700.0,46.23510889883351
2010,6,US-born,2674909600,356981000.0,13.345535116401692
2010,8,Naturalized citizen,18010500,2970700.0,16.494267233002972
2010,8,Non-citizen / foreign-born unknown,31077000,15953100.0,51.33410560864948
2010,8,US-born,448313400,59746600.0,13.326971712199546
2010,9,Naturalized citizen,22561700,2082800.0,9.231573861898704
2010,9,Non-citizen / foreign-born unknown,24710900,9287500.0,37.58462864565839
2010,9,US-born,297638400,19706500.0,6.620953479120974
2010,10,Naturalized citizen,3342400,323300.0,9.672690282431786
2010,10,Non-citizen / foreign-born unknown,3644100,1419200.0,38.94514420570237
2010,10,US-born,81502900,7371700.0,9.044708838581204
2010,11,Naturalized citizen,3070000,356700.0,11.618892508143322
2010,11,Non-citizen / foreign-born unknown,4917700,871400.0,17.719665697378854
2010,11,US-born,51399900,3278000.0,6.377444314093997
2010,12,Naturalized citizen,177641000,38630300.0,21.746274790166684
2010,12,Non-citizen / foreign-born unknown,189143000,105891800.0,55.98504834966137
2010,12,US-born,1458674200,251324000.0,17.22961851248209
2010,13,Naturalized citizen,32644300,7875300.0,24.124579176150203
2010,13,Non-citizen / foreign-born unknown,61337700,37652100.0,61.38492313862437
2010,13,US-born,865130900,149013600.0,17.22439922097338
2010,15,Naturalized citizen,13755700,892500.0,6.48821942903669
2010,15,Non-citizen / foreign-born unknown,10598500,1897900.0,17.9072510260886
2010,15,US-born,107956700,7213100.0,6.68147507287644
2010,16,Naturalized citizen,2973700,546400.0,18.374415711067023
2010,16,Non-citizen / foreign-born unknown,5965000,3319700.0,55.652975691533946
2010,16,US-born,146630200,24236300.0,16.52885967556479
2010,17,Naturalized citizen,76160900,11327700.0,14.873379910163878
2010,17,Non-citizen / foreign-born unknown,99784400,48315900.0,48.42029415419645
2010,17,US-born,1095301300,119964700.0,10.952666631546954
2010,18,Naturalized citizen,10672600,1602600.0,15.016022337574725
2010,18,Non-citizen / foreign-born unknown,19338900,8187300.0,42.33591362487008
2010,18,US-born,615373600,88666200.0,14.408515412425881
2010,19,Naturalized citizen,5414300,810600.0,14.971464455238904
2010,19,Non-citizen / foreign-born unknown,8666500,3984300.0,45.97357641493105
2010,19,US-born,289667900,23964200.0,8.272991242730036
2010,20,Naturalized citizen,6192300,1062900.0,17.164866043311854
2010,20,Non-citizen / foreign-born unknown,12541000,6042900.0,48.1851526991468
2010,20,US-born,264789900,32481100.0,12.26674431313279
2010,21,Naturalized citizen,5298200,907300.0,17.124683854894116
2010,21,Non-citizen / foreign-born unknown,9377600,4563500.0,48.663837229141784
2010,21,US-born,417065000,62297500.0,14.937120113171808
2010,22,Naturalized citizen,6266200,1327200.0,21.180300660687497
2010,22,Non-citizen / foreign-born unknown,10430500,6291700.0,60.320214754805626
2010,22,US-born,434828500,75693800.0,17.407736613400456
2010,23,Naturalized citizen,2790000,176600.0,6.329749103942653
