period,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,uninsured_rate_pct
2020-2024,29,Foreign-born,134116400,25199000.0,18.78890277400825
2020-2024,29,US-born,2935630700,244679100.0,8.33480519194734
2020-2024,30,Foreign-born,11979300,1525900.0,12.737806048767458
2020-2024,30,US-born,539855500,44409200.0,8.226127176624114
2020-2024,31,Foreign-born,76976900,19535900.0,25.378912375011204
2020-2024,31,US-born,895369600,51050500.0,5.701611937684728
2020-2024,32,Foreign-born,303415700,68255800.0,22.49580361200821
2020-2024,32,US-born,1259882100,111149300.0,8.822198521591822
2020-2024,33,Foreign-born,43253400,4933500.0,11.406039756412213
2020-2024,33,US-born,644870100,29867900.0,4.63161495625243
2020-2024,34,Foreign-born,1093652200,200095900.0,18.296118272335573
2020-2024,34,US-born,3410169200,128788900.0,3.7766131956150444
2020-2024,35,Foreign-born,98708200,27464500.0,27.823929521559503
2020-2024,35,US-born,946474000,71292600.0,7.532441461677763
2020-2024,36,Foreign-born,2235399600,219785900.0,9.83206313537857
2020-2024,36,US-born,7345695600,264156600.0,3.5960733249006402
2020-2024,37,Foreign-born,469746200,138521600.0,29.488604697600536
2020-2024,37,US-born,4830733900,378106700.0,7.827106767358889
2020-2024,38,Foreign-born,17378100,2301800.0,13.245406574942026
2020-2024,38,US-born,367622100,21447900.0,5.834224873858237
2020-2024,39,Foreign-born,296426400,49662200.0,16.753635978441867
2020-2024,39,US-born,5537400200,331886400.0,5.99354187909337
2020-2024,40,Foreign-born,122200400,41227700.0,33.737778272411546
2020-2024,40,US-born,1870300500,219659900.0,11.744631410834783
2020-2024,41,Foreign-born,206864900,31624300.0,15.287417053352211
2020-2024,41,US-born,1887701700,95121600.0,5.039016492913049
2020-2024,42,Foreign-born,493928100,71943400.0,14.56556126286397
2020-2024,42,US-born,5861818400,303321700.0,5.174532530724596
2020-2024,44,Foreign-born,81385700,9354300.0,11.493788220780802
2020-2024,44,US-born,450281600,13088700.0,2.9067810010446795
2020-2024,45,Foreign-born,147729300,43018200.0,29.119612697007298
