YEAR,STATEFIP,nativity_group,weighted_denominator,weighted_numerator,brain_waste_rate_pct
2010,38,US-born,8294700,3276100.0,39.49630486937442
2010,39,Foreign-born,8607100,2062100.0,23.95812759233656
2010,39,US-born,110518700,37258600.0,33.712484855504094
2010,40,Foreign-born,2150400,845800.0,39.33221726190476
2010,40,US-born,31608900,11915300.0,37.69602865015866
2010,41,Foreign-born,4012600,1426500.0,35.55051587499377
2010,41,US-born,37496100,13419100.0,35.78798861748289
2010,42,Foreign-born,12772800,3998000.0,31.30088938995365
2010,42,US-born,130731600,44460900.0,34.00929844046887
2010,44,Foreign-born,1291200,445200.0,34.479553903345725
2010,44,US-born,11714500,3816900.0,32.58269665798797
2010,45,Foreign-born,2660700,1035600.0,38.92208817228549
2010,45,US-born,41846000,15868100.0,37.92023132437987
2010,46,Foreign-born,366000,110600.0,30.218579234972676
2010,46,US-born,9877400,3565700.0,36.09958086136027
2010,47,Foreign-born,3601500,1249100.0,34.682771067610716
2010,47,US-born,57234500,19376300.0,33.85423127659017
2010,48,Foreign-born,41364400,13707300.0,33.137915695622326
2010,48,US-born,207819400,68086100.0,32.762148288369616
2010,49,Foreign-born,2208300,1024700.0,46.402209844676904
2010,49,US-born,24801900,8430500.0,33.99134743709151
2010,50,Foreign-born,425600,163600.0,38.43984962406015
2010,50,US-born,8173600,2848300.0,34.847557991582654
2010,51,Foreign-born,17143300,5643000.0,32.91664965321729
2010,51,US-born,92388600,28817900.0,31.192051833234835
2010,53,Foreign-born,11081000,3548700.0,32.025087988448696
2010,53,US-born,68373700,24180000.0,35.36447493700063
2010,54,Foreign-born,415500,98700.0,23.75451263537906
2010,54,US-born,13506300,4701200.0,34.80746022226665
2010,55,Foreign-born,3300600,937200.0,28.394837302308673
2010,55,US-born,61198600,20586900.0,33.639495021127935
2010,56,Foreign-born,217100,46000.0,21.188392445877476
2010,56,US-born,5363100,1713900.0,31.957263522962464
2011,1,Foreign-born,1935500,635000.0,32.80805993283389
2011,1,US-born,39680200,13769300.0,34.7006819522079
2011,2,Foreign-born,582800,213200.0,36.58201784488676
2011,2,US-born,7050800,1856800.0,26.334600329040676
2011,4,Foreign-born,7467600,3026600.0,40.52975520917028
2011,4,US-born,51991700,18572200.0,35.72147092709029
2011,5,Foreign-born,981600,253000.0,25.774246128769356
2011,5,US-born,22741900,7949900.0,34.95706163513163
2011,6,Foreign-born,127628300,46113700.0,36.13124988736824
2011,6,US-born,287337400,96239100.0,33.49341227421143
2011,8,Foreign-born,6472100,2653900.0,41.00523786715286
2011,8,US-born,66913800,24289800.0,36.30013539807932
