YEAR,country,country_key,iso3,is_aggregate,sex,age,comparison_group,comparison_label,reporting_country_rate_pct,comparison_rate_pct,employment_rate_gap_pp
2016,Austria,AUT,AUT,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,75.4,47.0,-28.400000000000006
2016,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,69.9,69.8,-0.10000000000000853
2016,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,69.9,69.0,-0.9000000000000057
2016,Austria,AUT,AUT,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,69.9,57.0,-12.900000000000006
2016,Austria,AUT,AUT,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,69.9,45.1,-24.800000000000004
2016,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,55.0,54.2,-0.7999999999999972
2016,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,55.0,44.7,-10.299999999999997
2016,Austria,AUT,AUT,0,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,55.0,42.8,-12.200000000000003
2016,Austria,AUT,AUT,0,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,55.0,41.5,-13.5
2016,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,65.7,65.4,-0.29999999999999716
2016,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,65.7,62.4,-3.3000000000000043
2016,Austria,AUT,AUT,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,65.7,55.2,-10.5
2016,Austria,AUT,AUT,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,65.7,49.3,-16.400000000000006
2016,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,75.8,75.8,0.0
2016,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,75.8,75.5,-0.29999999999999716
2016,Austria,AUT,AUT,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,75.8,68.1,-7.700000000000003
2016,Austria,AUT,AUT,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,75.8,61.5,-14.299999999999997
2016,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,80.5,80.4,-0.09999999999999432
2016,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,80.5,79.0,-1.5
2016,Austria,AUT,AUT,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,80.5,71.1,-9.400000000000006
2016,Austria,AUT,AUT,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,80.5,63.7,-16.799999999999997
2016,Austria,AUT,AUT,0,Males,From 15 to 64 years,eu27_total,EU27 citizens,76.7,76.7,0.0
2016,Austria,AUT,AUT,0,Males,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,76.7,77.1,0.3999999999999915
2016,Austria,AUT,AUT,0,Males,From 15 to 64 years,foreign_country,Foreign-country citizens,76.7,69.1,-7.6000000000000085
2016,Austria,AUT,AUT,0,Males,From 15 to 64 years,non_eu,Non-EU27 citizens,76.7,61.6,-15.100000000000001
2016,Austria,AUT,AUT,0,Total,From 15 to 24 years,eu27_total,EU27 citizens,53.1,52.5,-0.6000000000000014
2016,Austria,AUT,AUT,0,Total,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,53.1,45.1,-8.0
2016,Austria,AUT,AUT,0,Total,From 15 to 24 years,foreign_country,Foreign-country citizens,53.1,40.6,-12.5
2016,Austria,AUT,AUT,0,Total,From 15 to 24 years,non_eu,Non-EU27 citizens,53.1,37.0,-16.1
2016,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu27_total,EU27 citizens,64.4,64.1,-0.30000000000001137
2016,Austria,AUT,AUT,0,Total,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,64.4,60.9,-3.500000000000007
2016,Austria,AUT,AUT,0,Total,From 15 to 29 years,foreign_country,Foreign-country citizens,64.4,52.7,-11.700000000000003
2016,Austria,AUT,AUT,0,Total,From 15 to 29 years,non_eu,Non-EU27 citizens,64.4,45.5,-18.900000000000006
2016,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu27_total,EU27 citizens,74.0,73.7,-0.29999999999999716
2016,Austria,AUT,AUT,0,Total,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,74.0,71.7,-2.299999999999997
2016,Austria,AUT,AUT,0,Total,From 15 to 39 years,foreign_country,Foreign-country citizens,74.0,62.2,-11.799999999999997
2016,Austria,AUT,AUT,0,Total,From 15 to 39 years,non_eu,Non-EU27 citizens,74.0,53.3,-20.700000000000003
2016,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu27_total,EU27 citizens,78.0,77.7,-0.29999999999999716
2016,Austria,AUT,AUT,0,Total,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,78.0,74.9,-3.0999999999999943
2016,Austria,AUT,AUT,0,Total,From 15 to 59 years,foreign_country,Foreign-country citizens,78.0,64.9,-13.099999999999994
2016,Austria,AUT,AUT,0,Total,From 15 to 59 years,non_eu,Non-EU27 citizens,78.0,55.2,-22.799999999999997
2016,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu27_total,EU27 citizens,73.3,73.3,0.0
2016,Austria,AUT,AUT,0,Total,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,73.3,72.8,-0.5
2016,Austria,AUT,AUT,0,Total,From 15 to 64 years,foreign_country,Foreign-country citizens,73.3,62.8,-10.5
2016,Austria,AUT,AUT,0,Total,From 15 to 64 years,non_eu,Non-EU27 citizens,73.3,53.2,-20.099999999999994
2017,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu27_total,EU27 citizens,50.7,50.2,-0.5
2017,Austria,AUT,AUT,0,Females,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,50.7,44.3,-6.400000000000006
2017,Austria,AUT,AUT,0,Females,From 15 to 24 years,foreign_country,Foreign-country citizens,50.7,39.9,-10.800000000000004
2017,Austria,AUT,AUT,0,Females,From 15 to 24 years,non_eu,Non-EU27 citizens,50.7,35.9,-14.800000000000004
2017,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu27_total,EU27 citizens,62.9,62.5,-0.3999999999999986
2017,Austria,AUT,AUT,0,Females,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,62.9,59.0,-3.8999999999999986
2017,Austria,AUT,AUT,0,Females,From 15 to 29 years,foreign_country,Foreign-country citizens,62.9,50.5,-12.399999999999999
2017,Austria,AUT,AUT,0,Females,From 15 to 29 years,non_eu,Non-EU27 citizens,62.9,42.2,-20.699999999999996
2017,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu27_total,EU27 citizens,72.4,71.8,-0.6000000000000085
2017,Austria,AUT,AUT,0,Females,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,72.4,67.8,-4.6000000000000085
2017,Austria,AUT,AUT,0,Females,From 15 to 39 years,foreign_country,Foreign-country citizens,72.4,58.0,-14.400000000000006
2017,Austria,AUT,AUT,0,Females,From 15 to 39 years,non_eu,Non-EU27 citizens,72.4,47.4,-25.000000000000007
2017,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu27_total,EU27 citizens,76.1,75.6,-0.5
2017,Austria,AUT,AUT,0,Females,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,76.1,71.5,-4.599999999999994
2017,Austria,AUT,AUT,0,Females,From 15 to 59 years,foreign_country,Foreign-country citizens,76.1,60.8,-15.299999999999997
2017,Austria,AUT,AUT,0,Females,From 15 to 59 years,non_eu,Non-EU27 citizens,76.1,49.3,-26.799999999999997
2017,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu27_total,EU27 citizens,70.3,70.1,-0.20000000000000284
2017,Austria,AUT,AUT,0,Females,From 15 to 64 years,eu_mobile,EU27 citizens except reporting country,70.3,68.8,-1.5
2017,Austria,AUT,AUT,0,Females,From 15 to 64 years,foreign_country,Foreign-country citizens,70.3,58.5,-11.799999999999997
2017,Austria,AUT,AUT,0,Females,From 15 to 64 years,non_eu,Non-EU27 citizens,70.3,47.4,-22.9
2017,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu27_total,EU27 citizens,54.4,53.8,-0.6000000000000014
2017,Austria,AUT,AUT,0,Males,From 15 to 24 years,eu_mobile,EU27 citizens except reporting country,54.4,46.6,-7.799999999999997
2017,Austria,AUT,AUT,0,Males,From 15 to 24 years,foreign_country,Foreign-country citizens,54.4,41.1,-13.299999999999997
2017,Austria,AUT,AUT,0,Males,From 15 to 24 years,non_eu,Non-EU27 citizens,54.4,37.6,-16.799999999999997
2017,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu27_total,EU27 citizens,65.3,65.2,-0.09999999999999432
2017,Austria,AUT,AUT,0,Males,From 15 to 29 years,eu_mobile,EU27 citizens except reporting country,65.3,64.1,-1.2000000000000028
2017,Austria,AUT,AUT,0,Males,From 15 to 29 years,foreign_country,Foreign-country citizens,65.3,54.9,-10.399999999999999
2017,Austria,AUT,AUT,0,Males,From 15 to 29 years,non_eu,Non-EU27 citizens,65.3,48.5,-16.799999999999997
2017,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu27_total,EU27 citizens,75.6,75.9,0.30000000000001137
2017,Austria,AUT,AUT,0,Males,From 15 to 39 years,eu_mobile,EU27 citizens except reporting country,75.6,78.7,3.1000000000000085
2017,Austria,AUT,AUT,0,Males,From 15 to 39 years,foreign_country,Foreign-country citizens,75.6,69.0,-6.599999999999994
2017,Austria,AUT,AUT,0,Males,From 15 to 39 years,non_eu,Non-EU27 citizens,75.6,60.5,-15.099999999999994
2017,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu27_total,EU27 citizens,81.3,81.4,0.10000000000000853
2017,Austria,AUT,AUT,0,Males,From 15 to 59 years,eu_mobile,EU27 citizens except reporting country,81.3,82.2,0.9000000000000057
2017,Austria,AUT,AUT,0,Males,From 15 to 59 years,foreign_country,Foreign-country citizens,81.3,72.6,-8.700000000000003
2017,Austria,AUT,AUT,0,Males,From 15 to 59 years,non_eu,Non-EU27 citizens,81.3,63.6,-17.699999999999996
