period,year_start,year_end,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,years_observed,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
2008-2013,2008,2013,Estonia,EE,EST,EST,0,incarceration,Foreign prison-population representation,%,6,61.69847634788412,,33.22153471078218,-22.735272670080064,0.6318243228067677
2008-2013,2008,2013,Finland,FI,FIN,FIN,0,incarceration,Foreign prison-population representation,%,6,87.97165622630979,,12.028343773690205,-75.9433124526196,0.1372954883322891
2008-2013,2008,2013,France,FR,FRA,FRA,0,incarceration,Foreign prison-population representation,%,6,80.53911633856453,,19.460880988321684,-61.078235350242835,0.24169472598912947
2008-2013,2008,2013,Greece,EL,GRC,GRC,0,incarceration,Foreign prison-population representation,%,6,42.002665095231215,,58.81193346914173,16.809268373910513,1.4315439316867185
2008-2013,2008,2013,Hungary,HU,HUN,HUN,0,incarceration,Foreign prison-population representation,%,6,96.37308238864019,,3.626919199677428,-92.74616318896277,0.03763547874140972
2008-2013,2008,2013,Iceland,IS,ISL,ISL,0,incarceration,Foreign prison-population representation,%,6,80.38664657167827,,19.61421846525882,-60.77242810641945,0.24541165924393757
2008-2013,2008,2013,Ireland,IE,IRL,IRL,0,incarceration,Foreign prison-population representation,%,6,80.23891600000509,,10.591559209282375,-69.64735679072271,0.13141917021519192
2008-2013,2008,2013,Italy,IT,ITA,ITA,0,incarceration,Foreign prison-population representation,%,6,63.79798921206035,,36.21701378495601,-27.58097542710433,0.5678785676172592
2008-2013,2011,2013,Kosovo,XK,XKX,XKX,0,incarceration,Foreign prison-population representation,%,3,94.41978200238259,,5.580217997617416,-88.83956400476518,0.05925693386282421
2008-2013,2008,2013,Latvia,LV,LVA,LVA,0,incarceration,Foreign prison-population representation,%,6,83.32718355765631,,1.2767250106788728,-82.05045854697744,0.01589958869521499
2008-2013,2008,2013,Liechtenstein,LI,LIE,LIE,0,incarceration,Foreign prison-population representation,%,6,19.316042252417482,,80.68395774758251,61.36791549516503,4.816645447252552
2008-2013,2008,2013,Lithuania,LT,LTU,LTU,0,incarceration,Foreign prison-population representation,%,6,98.72610150220923,,1.2738645080752367,-97.452236994134,0.012906270976240008
2008-2013,2008,2013,Luxembourg,LU,LUX,LUX,0,incarceration,Foreign prison-population representation,%,6,30.098907768775934,,69.90132389948941,39.80241613071346,2.3318252415523677
2008-2013,2008,2010,Malta,MT,MLT,MLT,0,incarceration,Foreign prison-population representation,%,3,,,38.58594998420272,,
2008-2013,2008,2013,Montenegro,ME,MNE,MNE,0,incarceration,Foreign prison-population representation,%,6,89.81310205945981,,10.142406038066438,-79.67069602139338,0.11895494498058849
2008-2013,2008,2013,Netherlands,NL,NLD,NLD,0,incarceration,Foreign prison-population representation,%,6,80.63526055227234,,19.364752471806828,-61.270508080465525,0.2401827299985899
2008-2013,2009,2009,North Macedonia,MK,MKD,MKD,0,incarceration,Foreign prison-population representation,%,1,,,,,0.023147821173811707
2008-2013,2012,2013,Norway,NO,NOR,NOR,0,incarceration,Foreign prison-population representation,%,2,68.28875194887227,,30.43343858577184,-37.855313363100436,0.44576849230846455
2008-2013,2008,2013,Poland,PL,POL,POL,0,incarceration,Foreign prison-population representation,%,6,99.33095700850356,,0.6690430470601822,-98.66191396144336,0.0067355351459087295
2008-2013,2008,2013,Portugal,PT,PRT,PRT,0,incarceration,Foreign prison-population representation,%,6,78.92803772341132,,19.522357877575036,-59.405679845836296,0.24743356828882176
2008-2013,2008,2013,Romania,RO,ROU,ROU,0,incarceration,Foreign prison-population representation,%,6,99.32909190588288,,0.6709085482736524,-98.65818335760922,0.006755039691696135
2008-2013,2008,2013,Serbia,RS,SRB,SRB,0,incarceration,Foreign prison-population representation,%,6,97.74707413255874,,2.2529258674412427,-95.49414826511752,0.023099361136210642
2008-2013,2008,2013,Slovakia,SK,SVK,SVK,0,incarceration,Foreign prison-population representation,%,6,98.11263729963646,,1.870762270696944,-96.22531283195637,0.01923665513315077
2008-2013,2008,2013,Slovenia,SI,SVN,SVN,0,incarceration,Foreign prison-population representation,%,6,89.04171552861442,,10.709784450450977,-78.08366480148457,0.12311382137548978
2008-2013,2008,2013,Spain,ES,ESP,ESP,0,incarceration,Foreign prison-population representation,%,6,65.55237193024557,,34.44763031933059,-31.10474161091497,0.5262793492577541
2008-2013,2012,2013,Sweden,SE,SWE,SWE,0,incarceration,Foreign prison-population representation,%,2,68.0549204087579,,31.9450795912421,-36.109840817515796,0.4694609607384981
2008-2013,2008,2013,Switzerland,CH,CHE,CHE,0,incarceration,Foreign prison-population representation,%,6,29.956997630025203,,70.04297311732728,40.08597548730208,2.3520714169682
2008-2013,2009,2013,Turkey,TR,TUR,TUR,0,incarceration,Foreign prison-population representation,%,5,98.16229966263782,,1.680707794782423,-96.4815918678554,0.017121929245327034
2008-2013,2008,2013,Austria,AT,AUT,AUT,0,poverty,Poverty risk rate,percentage points,6,16.13888888888889,33.733333333333334,37.64,21.686666666666664,
2008-2013,2008,2013,Belgium,BE,BEL,BEL,0,poverty,Poverty risk rate,percentage points,6,18.05,28.320000000000004,61.61333333333333,43.68666666666666,
2008-2013,2008,2013,Bulgaria,BG,BGR,BGR,0,poverty,Poverty risk rate,percentage points,6,44.65555555555556,,55.67333333333333,10.30666666666667,
2008-2013,2010,2013,Croatia,HR,HRV,HRV,0,poverty,Poverty risk rate,percentage points,4,30.891666666666666,,54.766666666666666,23.875000000000004,
2008-2013,2008,2013,Cyprus,CY,CYP,CYP,0,poverty,Poverty risk rate,percentage points,6,21.138888888888886,35.05333333333333,40.83333333333333,19.119999999999997,
