period,year_start,year_end,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,years_observed,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
2008-2013,2008,2013,France,FR,FRA,FRA,0,poverty,Poverty risk rate,percentage points,6,17.39,19.99,54.63,37.14,
2008-2013,2008,2013,France,FR,FRA,FRA,0,temporary_contract,Temporary contract rate,percentage points,6,18.76,16.91,27.78,9.02,
2008-2013,2008,2013,United Kingdom,UK,GBR,GBR,0,brain_waste,Highly educated employment rate,percentage points,6,79.98,79.04,71.44,-8.54,
2008-2013,2008,2013,United Kingdom,UK,GBR,GBR,0,poverty,Poverty risk rate,percentage points,6,21.13,21.07,34.43,13.13,
2008-2013,2008,2013,United Kingdom,UK,GBR,GBR,0,temporary_contract,Temporary contract rate,percentage points,6,6.21,10.13,12.52,6.32,
2008-2013,2008,2013,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,6,68.45,63.84,60.9,-7.55,
2008-2013,2008,2013,Greece,EL,GRC,GRC,0,incarceration,Foreign prison-population representation,ratio,6,42.0,,58.81,16.81,1.43
2008-2013,2008,2013,Greece,EL,GRC,GRC,0,poverty,Poverty risk rate,percentage points,6,29.34,47.43,60.45,30.48,
2008-2013,2008,2013,Greece,EL,GRC,GRC,0,temporary_contract,Temporary contract rate,percentage points,6,12.09,24.71,21.68,9.59,
2008-2013,2008,2013,Croatia,HR,HRV,HRV,0,brain_waste,Highly educated employment rate,percentage points,6,69.95,75.84,86.05,15.69,
2008-2013,2008,2013,Croatia,HR,HRV,HRV,0,incarceration,Foreign prison-population representation,ratio,6,,,5.77,,
2008-2013,2008,2013,Croatia,HR,HRV,HRV,0,poverty,Poverty risk rate,percentage points,4,30.89,,54.77,23.88,
2008-2013,2008,2013,Croatia,HR,HRV,HRV,0,temporary_contract,Temporary contract rate,percentage points,6,15.84,,,,
2008-2013,2008,2013,Hungary,HU,HUN,HUN,0,brain_waste,Highly educated employment rate,percentage points,6,71.37,78.26,70.3,-1.07,
2008-2013,2008,2013,Hungary,HU,HUN,HUN,0,incarceration,Foreign prison-population representation,ratio,6,96.37,,3.63,-92.75,0.04
2008-2013,2008,2013,Hungary,HU,HUN,HUN,0,poverty,Poverty risk rate,percentage points,6,31.04,24.51,28.11,-3.69,
2008-2013,2008,2013,Hungary,HU,HUN,HUN,0,temporary_contract,Temporary contract rate,percentage points,6,10.66,14.9,,,
2008-2013,2008,2013,Ireland,IE,IRL,IRL,0,brain_waste,Highly educated employment rate,percentage points,6,75.77,75.12,69.33,-6.44,
2008-2013,2008,2013,Ireland,IE,IRL,IRL,0,incarceration,Foreign prison-population representation,ratio,6,80.24,,10.59,-69.65,0.13
2008-2013,2008,2013,Ireland,IE,IRL,IRL,0,poverty,Poverty risk rate,percentage points,6,27.33,23.59,36.94,8.63,
2008-2013,2008,2013,Ireland,IE,IRL,IRL,0,temporary_contract,Temporary contract rate,percentage points,6,11.69,10.26,14.67,2.98,
2008-2013,2008,2013,Iceland,IS,ISL,ISL,0,brain_waste,Highly educated employment rate,percentage points,6,87.22,84.71,84.71,-2.75,
2008-2013,2008,2013,Iceland,IS,ISL,ISL,0,incarceration,Foreign prison-population representation,ratio,6,80.39,,19.61,-60.77,0.25
2008-2013,2008,2013,Iceland,IS,ISL,ISL,0,poverty,Poverty risk rate,percentage points,6,12.06,24.99,24.25,11.93,
2008-2013,2008,2013,Iceland,IS,ISL,ISL,0,temporary_contract,Temporary contract rate,percentage points,6,13.27,10.65,,,
2008-2013,2008,2013,Italy,IT,ITA,ITA,0,brain_waste,Highly educated employment rate,percentage points,6,71.02,72.42,69.36,-1.67,
2008-2013,2008,2013,Italy,IT,ITA,ITA,0,incarceration,Foreign prison-population representation,ratio,6,63.8,,36.22,-27.58,0.57
2008-2013,2008,2013,Italy,IT,ITA,ITA,0,poverty,Poverty risk rate,percentage points,6,25.55,39.67,45.61,19.81,
