YEAR,period,country,country_code,country_key,iso3,is_aggregate,metric_key,metric_label,unit,native_value,eu_migrant_value,extra_eu_migrant_value,gap_extra_eu_vs_native_pp,ratio_foreign_vs_native
2003,1995-2007,Luxembourg,LU,LUX,LUX,0,brain_waste,Highly educated employment rate,percentage points,78.13529411764705,76.08125,69.33333333333333,-8.80196078431372,
2003,1995-2007,Netherlands,NL,NLD,NLD,0,brain_waste,Highly educated employment rate,percentage points,77.93333333333334,85.46875,58.38125,-19.552083333333336,
2003,1995-2007,Norway,NO,NOR,NOR,0,brain_waste,Highly educated employment rate,percentage points,81.79444444444444,88.55625,65.74285714285715,-16.05158730158729,
2003,1995-2007,Portugal,PT,PRT,PRT,0,brain_waste,Highly educated employment rate,percentage points,78.98888888888888,,83.8,4.811111111111117,
2003,1995-2007,Slovakia,SK,SVK,SVK,0,brain_waste,Highly educated employment rate,percentage points,78.03333333333333,,,,
2003,1995-2007,Slovenia,SI,SVN,SVN,0,brain_waste,Highly educated employment rate,percentage points,74.95555555555556,,,,
2003,1995-2007,Sweden,SE,SWE,SWE,0,brain_waste,Highly educated employment rate,percentage points,80.83888888888889,83.10625,63.40833333333333,-17.430555555555557,
2004,1995-2007,Austria,AT,AUT,AUT,0,brain_waste,Highly educated employment rate,percentage points,70.74444444444445,77.32666666666667,78.36,7.615555555555545,
2004,1995-2007,Belgium,BE,BEL,BEL,0,brain_waste,Highly educated employment rate,percentage points,73.75,75.89333333333335,61.26666666666667,-12.483333333333327,
2004,1995-2007,Bulgaria,BG,BGR,BGR,0,brain_waste,Highly educated employment rate,percentage points,69.71666666666667,,,,
2004,1995-2007,Switzerland,CH,CHE,CHE,0,brain_waste,Highly educated employment rate,percentage points,84.44444444444444,78.66666666666667,74.02941176470588,-10.415032679738559,
2004,1995-2007,Cyprus,CY,CYP,CYP,0,brain_waste,Highly educated employment rate,percentage points,83.64444444444445,83.53333333333333,65.9,-17.74444444444444,
2004,1995-2007,Czechia,CZ,CZE,CZE,0,brain_waste,Highly educated employment rate,percentage points,78.44999999999999,82.07857142857142,86.94166666666666,8.491666666666674,
2004,1995-2007,Germany,DE,DEU,DEU,0,brain_waste,Highly educated employment rate,percentage points,75.5,75.18235294117646,56.26470588235294,-19.235294117647058,
2004,1995-2007,Denmark,DK,DNK,DNK,0,brain_waste,Highly educated employment rate,percentage points,79.87222222222222,62.82727272727273,67.77142857142857,-12.100793650793648,
2004,1995-2007,Spain,ES,ESP,ESP,0,brain_waste,Highly educated employment rate,percentage points,73.98333333333333,71.27058823529411,64.97647058823529,-9.006862745098047,
2004,1995-2007,Estonia,EE,EST,EST,0,brain_waste,Highly educated employment rate,percentage points,76.62777777777778,,65.175,-11.452777777777783,
2004,1995-2007,Finland,FI,FIN,FIN,0,brain_waste,Highly educated employment rate,percentage points,76.9388888888889,85.13333333333334,51.660000000000004,-25.278888888888893,
2004,1995-2007,France,FR,FRA,FRA,0,brain_waste,Highly educated employment rate,percentage points,75.43529411764706,70.80833333333334,59.416666666666664,-16.018627450980397,
2004,1995-2007,United Kingdom,UK,GBR,GBR,0,brain_waste,Highly educated employment rate,percentage points,86.98333333333333,82.8875,76.90588235294118,-10.077450980392157,
2004,1995-2007,Greece,EL,GRC,GRC,0,brain_waste,Highly educated employment rate,percentage points,73.13888888888889,57.81666666666666,73.54375,0.4048611111111171,
2004,1995-2007,Hungary,HU,HUN,HUN,0,brain_waste,Highly educated employment rate,percentage points,75.44999999999999,87.4,75.49090909090908,0.040909090909096335,
